gender,readfk,mathfk,readsk,mathsk,readff,mathff,readsf,mathsf
0,34.69,22.84,48.8,31.13,60.07,41.69,87.37,37.5
1,34.37,21.26,49.09,29.82,53.03,37.69,88.39,85.61
1,24.84,18.09,50.63,28.48,49.74,36.43,75.67,55.34
1,43.38,25.53,50.72,40.6,54.11,34.7,76.25,58.42
0,22.24,13.59,40.17,19.38,37.33,15.97,50.77,38.16
1,31.42,19.32,27.88,22.99,32.07,39.13,42.86,49.87
1,27.3,17.3,30.89,30.42,36.67,38.14,49.73,42.62
0,37.77,31.04,51.26,40.33,52.14,39.38,90.79,74.22
1,30.62,31.14,39.83,48.47,47.29,44.69,62.55,36.91
1,56.79,44.31,111.92,74.5,126.37,77.35,154.13,102.68
1,35.59,25.06,40.31,35.91,50.95,44.76,74.09,53.6
1,32.59,20.41,37.76,30.22,39.06,38.69,55.61,43.78
0,47.45,29.58,48.17,45.21,51.91,45.04,61.65,60.1
1,35.25,44.77,53.06,48.43,65.98,80.87,108.99,91.68
1,36.84,32.84,38.1,36.59,41.84,37.39,67.49,37.13
0,43.97,33.38,50.52,38.44,65.31,48.15,117.01,91.53
0,34.01,22.93,38.04,29.55,39.05,44.07,65.97,77.1
0,30.4,19.39,30.55,24.36,37.31,31.49,53.88,62.41
0,30.96,22.67,46.06,33.55,61.76,41.71,113.53,63.54
1,40.5,25.55,43.12,36.53,47.66,30.93,65.45,50.48
0,34.4,21.34,47.4,32.42,46.05,42.81,42.72,44.33
0,49.97,41.16,64.78,53.48,76.82,90.16,126.87,104.86
1,32.28,24.84,46.96,38.88,61.08,45.34,107.53,60.15
1,36.13,26.83,56.12,36.83,55.38,38.1,83.21,60.56
1,57.5,52.82,84.71,65.3,86.36,54.93,124.51,88.61
0,45.39,30.27,54.24,37.68,63.12,43.74,94.27,88.61
1,28.87,33.97,50.26,42.66,48.71,42.19,80.86,70.34
0,32.41,19.8,46.25,40.82,51.91,41.74,65.94,46.52
0,34.17,28.08,47.9,40.09,51.17,37.85,107.31,83.78
0,46.37,32.18,69.55,42.73,87.16,50.41,121.52,65.44
1,31.51,25.98,47.57,31.8,46.7,36.78,77.25,62.89
0,54.1,42.62,95.84,49.75,102.9,61.27,141.73,89.01
0,33.51,29.43,55.67,51.97,55.97,48.08,108.46,86.5
0,46.28,31.02,53.17,42.93,53,41.48,80.41,85.17
1,34.33,19.15,33.61,25.25,40.66,38.34,64.21,31.45
1,28.62,23.26,34.15,23.25,39.44,31.49,59.11,50.88
1,22.68,21.59,33.81,27.1,34.05,38.97,51.4,53.92
0,46.56,39.05,48.57,47.27,51.24,55.3,56.55,36.47
