CNT,SCHOOLID,StIDStd,ST24Q01,ST24Q02,ST24Q03,ST24Q04,ST24Q05,ST24Q06,ST24Q07,ST24Q08,ST24Q09,ST24Q10,ST24Q11,ST27Q01,ST27Q02,ST27Q03,ST27Q04,ST27Q05,ST27Q06,ST27Q07,ST27Q08,ST27Q09,ST27Q10,ST27Q11,ST27Q12,ST27Q13,CSTRAT,ELAB,MEMOR,Reading,ESCS,gender,immig2
USA,5,140,2,2,1,1,2,2,1,2,1,3,1,4,4,4,2,2,3,4,1,3,1,4,1,3,0.7826,-1.5227,1.3297,595.53,1.3413,0,0
USA,5,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.75,0.1205,0,
USA,5,123,2,2,2,2,3,2,2,2,1,2,2,2,3,3,3,4,4,4,2,4,2,4,3,4,1.6056,0.3277,0.9843,581.42,0.4758,0,0
USA,5,152,2,1,1,1,1,1,1,2,2,2,2,1,3,3,3,1,3,1,2,3,2,4,2,4,0.7826,0.0385,-1.3817,601.3,-0.5006,0,0
USA,5,155,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,2,2,-1.0786,-0.2743,-0.9276,456.76,0.5507,0,0
USA,5,129,2,1,1,2,1,2,1,2,1,1,2,3,4,4,3,2,3,3,2,2,1,4,1,4,0.7826,-0.6208,0.6832,453.96,0.7373,0,0
USA,5,156,2,2,3,2,3,1,3,2,1,4,3,2,4,3,4,1,4,1,2,2,4,3,4,2,0.2159,1.4986,-0.9276,545.75,0.606,0,0
USA,5,132,1,2,4,1,2,1,2,1,1,4,3,4,2,4,2,2,3,3,1,3,1,4,1,2,-0.0411,-1.5227,0.9843,669.61,1.8987,0,0
USA,5,141,1,3,3,1,3,1,3,1,1,3,3,3,3,3,3,2,4,4,2,3,3,3,2,2,0.2159,0.3277,0.6832,681.47,0.4219,0,0
USA,5,145,1,1,1,1,1,1,1,1,2,1,1,3,3,3,2,1,2,1,1,2,1,3,1,2,-0.5485,-1.5227,-0.5436,584.23,0.4018,0,0
USA,5,135,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,,,,,,,,-1.1416,-0.5318,-1.0106,377.8,1.6908,0,0
