scigrade6,understand,workhard,challenge,choice,makemeth,ownexp,scigrade10,ses,sciach,certsci
3,6,6,6,1,1,1,5,1.022,16.88,0
4,2,6,6,1,1,1,4,-0.656,28.01,0
4,5,5,5,1,1,1,3,-0.735,21.35,1
5,5,6,6,1,2,2,8,0.722,18.01,1
4,5,5,6,1,1,1,6,-0.73,21.48,1
4,6,6,6,1,1,1,5,0.207,25.84,0
5,4,5,5,1,1,1,4,-0.06,21.95,0
2,4,5,5,1,1,1,1,-1.049,17.66,1
5,2,6,6,3,1,6,8,0.041,19.64,0
5,6,6,5,1,1,1,8,1.038,17.5,1
5,2,5,3,1,1,1,7,0.077,31.99,1
3,5,5,2,1,1,1,2,-0.36,19.98,1
5,4,6,6,1,1,1,4,-0.771,15.19,0
2,6,6,6,1,1,1,5,-2.25,14.01,0
5,5,6,5,3,1,2,7,-0.017,22.28,0
4,5,4,5,1,1,1,4,-0.072,26.81,0
4,5,5,4,1,3,1,7,0.434,24.53,0
3,5,6,6,1,1,5,5,0.177,29.77,0
3,6,6,6,5,3,2,8,-1.561,27.62,0
5,6,5,5,1,1,1,8,-0.323,26.96,0
3,4,3,4,1,1,1,8,-0.47,21.82,0
3,2,6,6,5,5,5,3,-0.483,18.73,0
4,6,4,3,1,1,1,7,0.755,28.56,0
3,6,5,3,1,1,1,5,-0.003,15.64,0
3,6,6,6,4,4,1,8,-0.896,24.03,0
3,6,6,4,1,1,2,7,-0.11,26.02,0
4,3,5,5,1,1,1,5,-0.682,24.01,0
4,2,2,2,1,1,1,7,-0.445,30.78,0
3,2,6,5,1,1,1,5,-0.742,16.66,0
3,3,4,3,1,2,2,1,-1.741,13.4,0
4,6,6,6,2,1,1,5,-1.039,15.94,1
5,4,6,6,1,3,1,8,-0.639,21.41,0
4,6,6,6,1,1,3,8,-0.385,26.92,1
4,3,6,3,1,1,1,7,-0.759,30.96,1
1,6,6,6,3,1,1,5,-1.092,14.96,1
4,6,6,5,1,1,1,5,-0.889,17.76,1
3,3,5,5,1,1,1,5,-1.224,26.06,0
4,5,6,6,2,2,3,7,0.277,28.33,0
3,2,5,5,1,1,1,5,-0.422,13.87,0
3,4,6,5,1,1,1,6,-0.387,11.88,1
3,6,6,5,1,4,1,4,0.037,17.94,1
3,3,5,3,4,4,4,5,-1.122,14.91,0
5,4,5,5,2,1,1,8,0.622,24.94,1
3,6,4,4,1,1,2,4,-0.967,29.57,1
4,4,5,5,2,1,1,7,-0.823,31.36,1
4,4,5,5,1,1,1,8,-0.315,23.63,0
4,2,6,5,2,1,2,7,1.037,19.18,1
3,5,5,4,1,2,2,5,-0.823,30.17,1
3,6,6,5,1,3,1,5,-0.952,11.52,0
3,6,5,6,2,2,2,6,-1.34,15.61,0
5,2,5,5,2,1,1,7,-0.497,18.8,1
4,6,6,5,1,2,2,5,-1.199,15.99,0
4,6,6,6,2,2,3,6,1.222,29.27,0
5,5,5,5,2,1,1,7,-1.005,28.81,1
3,4,4,4,1,1,1,6,-0.889,33.23,0
3,4,4,3,1,1,1,4,-0.435,17.15,0
2,3,5,5,1,1,1,5,0.256,21.85,1
2,4,6,5,1,2,1,8,0.795,22.27,1
3,4,4,4,1,1,1,5,0.335,28.65,0
3,5,5,5,3,1,1,4,0.676,12.75,1
3,6,6,6,1,1,1,5,-1.302,18.44,1
3,3,6,5,1,1,1,3,0.056,17.66,1
3,5,6,4,3,2,1,6,0.494,24.19,0
4,4,6,6,1,1,1,6,-0.193,24.39,1
2,6,3,4,1,1,1,3,-0.177,19.77,1
4,4,6,5,1,1,3,4,-0.422,19.72,0
3,2,2,2,1,2,1,1,0.008,24.15,1
4,4,5,5,1,1,1,8,0.39,31.87,1
4,5,6,5,1,1,1,7,-0.193,28.43,1
5,5,6,6,1,1,1,8,-0.322,30.08,1
2,6,5,5,1,2,2,2,-0.732,22.57,0
3,6,6,6,1,1,1,3,0.421,21.14,1
5,6,5,5,1,1,1,5,-0.5,22.28,1
4,6,5,5,1,1,1,5,-1.099,20.51,0
5,2,2,2,1,1,1,8,0.135,26.59,0
5,5,5,5,1,1,2,6,0.207,28.07,0
3,6,3,3,1,1,1,6,-0.038,32,0
5,6,6,6,1,3,1,6,1.061,23.69,0
2,6,6,4,3,1,1,1,-1.579,12.93,0
5,6,6,6,1,1,1,8,1.078,33.77,0
5,6,6,5,2,1,1,8,1.461,31.8,0
3,5,4,6,2,1,1,3,-0.665,15.54,0
4,4,5,5,3,2,1,3,-0.32,13.24,0
2,2,6,6,1,1,3,2,-0.035,19.29,0
3,2,3,3,1,1,1,2,-0.26,27.68,0
5,4,6,5,1,1,1,7,0.077,22.33,0
3,5,5,6,1,2,1,1,-0.038,16.28,0
3,5,5,2,1,1,1,4,-0.365,20.04,1
3,6,6,6,3,1,1,5,0.52,15.89,0
4,6,5,4,2,1,1,8,-0.746,15.77,1
3,6,6,5,2,1,1,4,-0.126,17.3,0
5,6,6,6,1,1,1,6,0.314,26.59,1
5,3,4,4,1,1,1,7,0.745,16.49,0
3,6,6,6,1,1,1,6,1.138,24.22,1
5,6,6,6,1,1,1,5,0.641,19.63,1
4,6,3,6,1,1,3,5,0.155,12.08,1
5,5,4,5,1,1,4,6,0.798,10.64,0
3,5,6,5,1,1,1,8,0.311,12.96,1
3,2,5,2,1,1,1,3,0.434,21.24,0
3,3,4,4,1,1,1,5,0.478,25.01,1
5,2,3,6,1,1,1,4,0.275,28.03,0
