id,schid,getalng,spirit,strict,fair,racefrnd,disrupt,tchgood,tchint,tchprais,putdown,studown,listen,feelsafe,impede,misbehav,private
6875960,68759,2,2,1,4,2,2,2,2,3,3,3,2,3,3,3,0
6879744,68797,3,2,3,1,2,3,3,2,2,3,3,2,2,2,2,0
6881706,68817,2,3,3,1,1,1,2,2,2,3,2,2,4,3,3,0
6883096,68830,2,2,3,2,1,2,2,3,2,3,2,2,2,3,3,0
6889226,68892,2,2,2,2,2,2,1,2,2,3,2,2,4,2,2,0
6890600,68906,2,2,2,2,1,2,3,2,2,3,3,2,4,2,2,0
6890604,68906,3,2,3,3,2,3,2,2,3,4,3,2,4,4,1,0
6890658,68906,2,2,3,3,2,1,3,3,2,3,2,2,1,2,1,0
6890698,68906,2,2,2,1,2,2,2,3,2,4,4,2,3,1,2,0
6895170,68951,3,4,2,4,2,2,2,1,2,4,4,2,4,3,2,0
6895192,68951,3,2,2,2,3,2,2,1,2,4,4,1,4,3,2,0
6898471,68984,2,1,3,2,2,2,3,2,4,3,3,4,4,3,2,0
7202120,72021,2,2,3,2,2,1,1,2,2,4,3,2,4,1,3,0
7202234,72022,3,2,2,4,2,3,3,3,3,3,3,3,3,3,3,0
7202243,72022,4,3,2,2,2,1,2,2,3,1,3,2,3,2,4,0
7202624,72026,3,2,2,3,2,2,3,3,2,2,3,3,3,3,3,0
7202692,72026,3,2,1,4,1,1,3,3,1,3,4,1,1,4,3,0
7204243,72042,2,2,1,3,2,1,1,1,2,2,2,2,3,3,2,0
7204298,72042,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
7205733,72057,3,1,2,2,2,1,3,4,4,1,3,4,1,3,3,0
7205734,72057,2,1,2,2,2,3,2,2,2,3,3,2,4,3,2,0
7206511,72065,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,0
7206546,72065,2,3,2,2,2,2,3,2,4,4,2,3,4,2,2,0
7208171,72081,2,2,1,3,1,4,2,2,2,3,3,2,4,3,3,0
7208450,72084,2,3,2,2,2,2,2,2,3,3,3,2,4,3,3,0
7209286,72092,2,4,3,1,2,3,1,2,2,4,2,2,4,3,4,0
7210079,72100,2,2,2,3,2,2,2,2,2,3,3,2,3,3,3,0
7210081,72100,1,1,2,2,1,2,2,2,2,4,4,1,4,1,2,0
7210827,72108,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,0
7211567,72115,2,2,1,4,2,2,3,2,2,3,4,1,4,3,2,0
7212742,72127,2,2,1,2,1,1,2,2,1,3,4,2,4,3,2,0
7212962,72129,2,3,2,2,1,2,2,1,2,2,3,3,4,4,3,0
7215371,72153,3,3,2,2,1,2,3,2,2,3,3,2,3,3,2,0
7217011,72170,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
